date,close,volume,open,high,low
2013-01-16,21.69,51718185,21.199,21.833,21.107
2013-01-17,21.543,33870133,21.87,21.889,21.516
2013-01-18,21.429,35096239,21.365,21.524,21.274
2013-01-22,21.633,34423777,21.624,21.766,21.284
2013-01-23,22.029,57327035,21.806,22.071,21.633
2013-01-24,19.307,109337729,19.714,19.96,19.296
2013-01-25,18.852,90485226,19.358,19.553,18.643
2013-01-28,19.278,58731557,18.764,19.423,18.68
2013-01-29,19.64,42746079,19.65,19.723,19.377
2013-01-30,19.578,31242255,19.586,19.826,19.479
2013-01-31,19.521,23833642,19.585,19.683,19.499
2013-02-01,19.441,40411341,19.676,19.692,19.215
2013-02-04,18.956,35713429,19.453,19.54,18.943
2013-02-05,19.622,42887724,19.031,19.703,18.952
2013-02-06,19.601,44401174,19.563,19.993,19.396
2013-02-07,20.067,52688343,19.854,20.143,19.462
2013-02-08,20.356,47443025,20.314,20.52,20.068
2013-02-11,20.568,38461973,20.421,20.783,20.282
2013-02-12,20.053,45523015,20.55,20.673,20.046
2013-02-13,20.015,35604859,20.023,20.299,19.852
2013-02-14,19.997,26635715,19.908,20.213,19.887
2013-02-15,19.721,29362145,20.094,20.15,19.711
2013-02-19,19.714,32646000,19.761,19.831,19.451
2013-02-20,19.236,35646922,19.615,19.615,19.234
2013-02-21,19.117,33469095,19.114,19.25,18.978
2013-02-22,19.32,24768079,19.254,19.354,19.14
2013-02-25,18.977,27844055,19.451,19.505,18.967
2013-02-26,19.242,37512185,19.021,19.352,18.757
2013-02-27,19.053,43966474,19.218,19.39,18.885
2013-02-28,18.917,24153745,19.031,19.194,18.917
2013-03-01,18.449,41345904,18.771,18.779,18.428
2013-03-04,18.002,43299702,18.334,18.351,17.957
2013-03-05,18.478,47768147,18.063,18.651,18.032
2013-03-06,18.243,34458112,18.622,18.654,18.19
2013-03-07,18.454,35090968,18.193,18.515,18.045
2013-03-08,18.502,29240030,18.42,18.661,18.369
2013-03-11,18.766,35466427,18.418,18.815,18.22
2013-03-12,18.361,34842643,18.669,18.809,18.324
2013-03-13,18.358,30394338,18.362,18.621,18.23
2013-03-14,18.536,22740444,18.55,18.627,18.448
2013-03-15,19.014,48176240,18.768,19.038,18.739
2013-03-18,19.531,44988355,18.919,19.605,18.909
2013-03-19,19.478,39440678,19.693,19.756,19.221
2013-03-20,19.375,23094105,19.604,19.613,19.268
2013-03-21,19.403,28645331,19.295,19.628,19.29
